scenario,paper_RMSE_theta_percent,sim_RMSE_theta_percent,sim_tension_rmse_N,sim_overshoot_N,sim_degradation_score,relative_difference_percent
EA_plus30,15.2,0.6338592267554543,0.3724153736142308,0.9457237241753376,1.9519983245450225,-95.8298735081878
f_plus30,20.5,0.658872733475774,0.2824613637896057,0.7568011197137849,1.6981352169791646,-96.78598666597183
J_UWminus30_RWplus50,26.8,7.160929511923274,0.2636649383654211,0.6938095446758865,8.11840399496458,-73.28011376148032
J_UWminus50_RWplus100,39.3,12.750393088434533,0.2673139305107212,0.6708056799175353,13.68851269886279,-67.55625168337268
