case,Kp_star_label,backend_Kp_star_m_s_per_N,paper_RMSE_theta_percent,sim_RMSE_theta_percent,sim_overshoot_N,relative_difference_percent
NF,50,5e-06,16.2,0.6632188175942385,0.7477875565666352,-95.90605668151706
NF,100,1e-05,16.7,0.6620117551610217,0.7564753735180787,-96.03585775352681
NF,200,2e-05,26.7,0.6597032430093367,0.7700136585168238,-97.52920133704369
SN,50,5e-06,21.9,2.1215338803541814,1.0789252161808136,-90.31263068331424
SN,100,1e-05,20.4,2.7203138067712045,0.9340574537231703,-86.66512839818036
SN,200,2e-05,18.6,1.730010269042331,0.8438236845091396,-90.69886952127779
