scenario,paper_RMSE_theta_percent,sim_RMSE_theta_percent,relative_difference_percent
EA_plus30,15.2,27.898190973532515,83.54073008902971
f_plus30,20.5,21.46947949886889,4.7291682871653125
J_UWminus30_RWplus50,26.8,27.746114822602696,3.530279188816026
J_UWminus50_RWplus100,39.3,28.964303572341095,-26.299482004221126
