case,Kp_star,paper_RMSE_theta_percent,sim_RMSE_theta_percent,relative_difference_percent
NF,50,16.2,14.456338885174272,-10.763340214973624
NF,100,16.7,25.104038530364264,50.32358401415728
NF,200,26.7,61.87876875121455,131.75568820679607
SN,50,21.9,16.212570268040054,-25.96999877607281
SN,100,20.4,21.95341806004229,7.61479441197201
SN,200,18.6,52.105283933048675,180.1359351239176
